"SIPSN - Sistem Informasi Pengelolaan Sampah Nasional","","","","","","","","","","","","",""
"Tahun","Provinsi","Kabupaten/Kota","Timbulan Sampah Tahunan (ton/tahun)(A)","Pengurangan Sampah Tahunan (ton/tahun)(B)","%Pengurangan Sampah(B/A)","Penanganan Sampah Tahunan (ton/tahun)(C)","%Penanganan Sampah(C/A)","Sampah Terkelola Tahunan (ton/tahun)(B+C)","%Sampah Terkelola(B+C)/A","Daur ulang Sampah Tahunan (ton/tahun)(D)","Bahan baku Sampah Tahunan (ton/tahun)(E)","Recycling Rate(D+E)/A","P1/P2"
"2022","Sulawesi Tenggara","Kab. Kolaka","44,021.60","3,234.49","7.35","12,811.50","29.10","16,045.99","36.45","3,225.87","36.50","7.41","P 2"
"2022","Sulawesi Tenggara","Kab. Wakatobi","29,455.57","5,593.44","18.99","11,209.15","38.05","16,802.59","57.04","","7.30","0.02","P 2"
"2022","Sulawesi Tenggara","Kab. Kolaka Utara","20,340.57","1,150.77","5.66","4,311.11","21.19","5,461.89","26.85","678.73","113.61","3.90","P 2"
"2022","Sulawesi Tenggara","Kab. Buton Selatan","8,026.71","","","1,204.50","15.01","1,204.50","15.01","","","0.00","P 2"
"2022","Sulawesi Tenggara","Kota Kendari","98,476.88","18,528.30","18.81","73,328.94","74.46","91,857.24","93.28","3,299.91","328.94","3.68","P 2"
"2022","Sulawesi Tenggara","Kota Bau Bau","29,923.25","3,284.53","10.98","26,280.00","87.82","29,564.53","98.80","3,212.00","","10.73","P 2"
"2022","Gorontalo","Kab. Gorontalo","57,762.71","466.95","0.81","7,639.45","13.23","8,106.40","14.03","0.00","0.00","0.00","P 2"
"2022","Gorontalo","Kab. Bone Bolango","18,198.90","2,612.08","14.35","3,546.70","19.49","6,158.78","33.84","432.53","232.51","3.65","P 2"
"2022","Gorontalo","Kab. Pohuwato","21,562.59","6,725.84","31.19","6,265.04","29.06","12,990.88","60.25","5,501.20","3,118.74","39.98","P 2"
"2022","Gorontalo","Kota Gorontalo","51,646.51","12,541.70","24.28","36,748.20","71.15","49,289.90","95.44","11,231.41","365.00","22.45","P 2"
"2022","Sulawesi Barat","Kab. Mamuju","51,438.36","232,455.45","451.91","7,888.02","15.33","240,343.46","467.25","232,044.09","","451.11","P 2"
"2022","Sulawesi Barat","Kab. Majene","25,898.94","763.02","2.95","11,242.00","43.41","12,005.02","46.35","723.52","","2.79","P 2"
"2022","Sulawesi Barat","Kab. Mamuju Tengah","20,057.48","0.00","0.00","4,745.00","23.66","4,745.00","23.66","","","0.00","P 2"
